batch,Account Name,Account Number,User ID,Amount,Status
2,Renae,3a038b75-7bb6-49d5-9d4d-b8e935c136d3,4,939.59,inactive
2,Lulita,74bbaebc-3bf7-4870-8f7d-9c98a7ee73c1,5,1635.19,active
2,Barbi,a9375185-d20c-4f0c-b5bf-88c1d07a3cc3,4,1906.28,active
2,Lorie,2bc09501-eed8-494a-b84e-b0489e5f492d,1,1270.12,active
2,Stacey,a41bf344-99c6-4b46-86a0-17786a8aed95,1,1919.66,active
2,Letizia,6aa5654e-ed0d-4113-9ae3-dee917b98b5a,1,1886.65,active
2,Ileana,56f13b72-6ee8-4f9e-8c96-fdc2724e7113,4,1610.71,inactive
2,Kial,383bfc84-e897-4a39-af51-93742bc715c5,2,1056.6,active
2,Kirstin,a1b72775-2cd4-4535-93a0-1008602552a3,5,1460.45,active
2,Janeczka,cc344d68-328a-492f-96b3-0ec4d764d265,3,1088.73,inactive
2,Melisent,21cdd53e-d9ad-4f37-8a9d-725b35ce89be,3,1117.37,inactive
2,Monika,39b6ffdd-d378-4839-84b6-1d97b66d30ad,5,1836.57,inactive
2,Randa,6a75409f-9372-4579-a54b-d47dbd0fc77d,1,955.62,active
2,Lita,64736323-a90e-49d4-bcda-2d347ffe3cd6,2,309.52,inactive
2,Melisent,65c4a20e-d9f7-40e9-9b4a-f3b78d412dfe,4,1943.08,active
2,Larine,6fc87d70-2548-41ab-a18c-14bef1fac143,2,1178.79,active
2,Jaclyn,34329d0f-6e6c-461d-9055-79d28ebe8e2f,1,391.29,inactive
2,Celene,833f261e-b9fc-4f36-ad52-6e430fa183f9,2,1364.53,inactive
2,Maridel,b80800f8-681c-4ae9-8b93-5cc7e52ba2c3,4,307.61,active
2,Maisey,91bfd5a3-f213-46c2-913d-2eb60a3c5864,4,438.5,active
2,Zondra,59948181-abe0-4002-a351-4ec72d33d9ca,4,163.29,inactive
2,Shandie,3dab16d9-8de7-491b-8ea8-795dadb4b96d,3,1214.21,inactive
2,Netty,b5df278e-d489-42a9-ab20-f4ce93dacc30,4,1037.29,inactive
2,Kellen,524b850e-7b4f-4a1d-9b91-f49aee5caf6a,5,1795.57,active
